,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,duplicates,old_lines,duplicates_fraction,lang,ex_0_0,ex_0_1,ex_1_0,ex_1_1,ex_2_0,ex_2_1
0,0.0,0.0,0.0,,,,,,50986,950920,0.0536175493206578,uk,"давайте зробимо ланцюжок 
#SaveMariupol 
#SaveAzovstal 
#SaveAzovstalDefenders 
#ꑭ https://t.co/hKyT5qVy00","давайте зробимо ланцюжок 
#SaveMariupol 
#SaveAzovstal 
#SaveAzovstalDefenders 
#ꑭ https://t.co/ivzYIBDpte","давайте зробимо ланцюжок 
#SaveMariupol 
#SaveAzovstal 
#SaveAzovstalDefenders 
#ꑭ https://t.co/CHv3l1GXJb","давайте зробимо ланцюжок 
#SaveMariupol 
#SaveAzovstal 
#SaveAzovstalDefenders 
#ꑭ https://t.co/ivzYIBDpte","ваше крайнє фото з галереї + гештеги
#ꑭ
#SaveAzovstal 
#SaveAzov 
#SaveMariupol https://t.co/tadL903Ufj","ваше крайнє фото з галереї + гештеги
#ꑭ
#SaveAzovstal 
#SaveAzov 
#SaveMariupol https://t.co/DYOM8b6knb"
1,1.0,0.0,,,,,,,71413,532593,0.1340855024380718,ru,"Vолодимир Oлександрович Zеленський будучи президентом страны,  ""победившей"" в очередной раз при помощи подлога в политическом конкурсе «Евровидение» обрадовал участников следующего  тем, что местом проведения будет Мариуполь https://t.co/6h5znUMtNL

#Russia #Russians #Z","Vолодимир Oлександрович Zеленський будучи президентом страны,  ""победившей"" в очередной раз при помощи подлога в политическом конкурсе «Евровидение» обрадовал участников следующего  тем, что местом проведения будет Мариуполь https://t.co/lKKvS7QACX

#новости #news #новини","Частые победы, политика на неполитическом конкурсе, слабое выступление никому не известного коллектива и многое другое дали повод усомниться в итоговых результатах Украины даже сверх сплочённой малой части Европы https://t.co/2uNjfUPLG0

#Russia #Russians #Z","Частые победы, политика на неполитическом конкурсе, слабое выступление никому не известного коллектива и многое другое дали повод усомниться в итоговых результатах Украины даже сверх сплочённой малой части Европы https://t.co/zq7k9wjEbZ

#новости #news #новини","У рояля то же, что было и раньше

Победителем ""Евровидения"" стала... Украина. Теперь осталось только отдать Зеленскому Нобелевскую премию мира.
Слава богу, заботливые европейцы сами освободили Россию от этой глупости! https://t.co/54yEH20KaT

#Russia #Russians #Z","У рояля то же, что было и раньше

Победителем ""Евровидения"" стала... Украина. Теперь осталось только отдать Зеленскому Нобелевскую премию мира.
Слава богу, заботливые европейцы сами освободили Россию от этой глупости! https://t.co/im6AwvnD1h

#новости #news #новини"
2,0.0,,,,,,,,93217,1271494,0.0733129688382328,it,"Appendino assolta dall’accusa di falso, le lacrime in tribunale: «Tanti anni dolorosi» #corriere #news #2022 #italy #world #cnn #notizie #war #ucraina #7maggio #martedi #sabato #sport #tv https://t.co/oAyKcD3cwD - Homepage https://t.co/VlmpT8x5Xb",Berlusconi giustifica Putine attacca sugli aiuti militari  #corriere #news #2022 #italy #world #cnn #notizie #war #ucraina #7maggio #martedi #sabato #sport #tv https://t.co/oAyKcD3cwD - Homepage https://t.co/kHcNDDr4uf,"PRIMA DI DIVENIRE AMANTE DI GIOELE MAGALDI E PARTE DI SUA MASSONERIA ""FROCIA, FACEVO ORGE ETERO CON MASSIMO DORIS DI MEDIOLANUM E DAVIDE SERRA D'ALGEBRIS! TUTTI DEVONO SAPERE CHE #MASSIMODORIS E #DAVIDESERRA RICICLANO TANTI SOLDI MAFIOSI (#MAFIA RUSSA) E DI PEZZO DI MERDA #PUTIN! https://t.co/xsoKdJznnR","PRIMA DI DIVENIRE AMANTE DI GIOELE MAGALDI E PARTE DI SUA MASSONERIA ""FROCIA, FACEVO ORGE ETERO CON MASSIMO DORIS DI MEDIOLANUM E DAVIDE SERRA D'ALGREBRIS! TUTTI DEVON SAPERE CHE #MASSIMODORIS E #DAVIDESERRA RICICLANO TANTI SOLDI MAFIOSI (#MAFIA RUSSA) E DI PEZZO DI MERDA #PUTIN! https://t.co/UExBx2F5qT","PRIMA DI DIVENIRE AMANTE DI GIOELE MAGALDI E PARTE DI SUA MASSONERIA ""FROCIA"", FACEVO ORGE ETERO CON MASSIMO DORIS DI MEDIOLANUM E DAVIDE SERRA D'ALGEBRIS! TUTTI DEVON SAPERE CHE #MASSIMODORIS E #DAVIDESERRA RICICLANO TANTI SOLDI MAFIOSI (#MAFIA RUSSA) E DI PEZZO DI MERDA #PUTIN! https://t.co/7SqwmuSgcQ","PRIMA DI DIVENIRE AMANTE DI GIOELE MAGALDI E PARTE DI SUA MASSONERIA ""FROCIA, FACEVO ORGE ETERO CON MASSIMO DORIS DI MEDIOLANUM E DAVIDE SERRA D'ALGREBRIS! TUTTI DEVON SAPERE CHE #MASSIMODORIS E #DAVIDESERRA RICICLANO TANTI SOLDI MAFIOSI (#MAFIA RUSSA) E DI PEZZO DI MERDA #PUTIN! https://t.co/UExBx2F5qT"
0,,,,,,,,,85401,1135000,0.0752431718061674,fr,"MATTHEW STEAKHOUSE RESTAURANT à COZES !
https://t.co/Cjo78c4Vew
https://t.co/jKKEXIUkjB
#restaurant #cozes #matthewsteakhouse #royan #viande #burgers #styleus #usa https://t.co/cI4U11mxLB","MATTHEW STEAKHOUSE RESTAURANT à COZES !
https://t.co/Cjo78c4Vew
https://t.co/jKKEXIUkjB
#restaurant #cozes #matthewsteakhouse #royan #viande #burgers #styleus #usa https://t.co/DV3D8Q6wNf","MATTHEW STEAKHOUSE RESTAURANT à COZES !
https://t.co/Cjo78bNkmY
https://t.co/jKKEXICJs3
#restaurant #cozes #matthewsteakhouse #royan #viande #burgers #styleus #usa https://t.co/yQ3KkGZBMB","MATTHEW STEAKHOUSE RESTAURANT à COZES !
https://t.co/Cjo78bNkmY
https://t.co/jKKEXICJs3
#restaurant #cozes #matthewsteakhouse #royan #viande #burgers #styleus #usa https://t.co/ZuEplE9wsd",POWER OF NAÏVETÉ - https://t.co/kQpbbHyTkP #Motivation #Wellness #WellBeing #USA #PowerPlatform #Faith #Truth #Love #Hope #CyberSecurity #TrustGod not #Man #Blogger #WritingCommunity #Authors #Books #Understanding #TheWorld #BlackTwitter #Holy https://t.co/SQalF33E9A,INFORMATION PARADOX - https://t.co/kQpbbHyTkP #Motivation #Wellness #WellBeing #USA #PowerPlatform #Faith #Truth #Love #Hope #CyberSecurity #TrustGod not #Man #Blogger #WritingCommunity #Authors #Books #Understanding #TheWorld #BlackTwitter #Holy https://t.co/bqIeY3tifi
