,am,ar,bg,bn,ca,ckb,cs,cy,da,de,dv,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,hy,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,am_dupl,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,dv_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,hy_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,sd,sd_dupl,km,km_dupl,lo,ug,lo_dupl,ug_dupl,bo,bo_dupl
85,41.0,1632,27,107,301,11.0,479,88,312,20105,0.0,556,307415,11286,355,60,386,1422,22094,94,1831,161,45,2.0,1203,36,15774,181,4202,6,101,145,49,85,49.0,54,4.0,8.0,1774,112,51.0,12.0,5176,4.0,1316,544,4459,5.0,65,37,647,439,54,1392,12481,3195,6010,22141,176,30,1188,215466,452016,292494,2022-03-13,14.0,641,6,10,126,1.0,225,32,139,12239,0.0,259,217197,7102,130,3,156,776,16272,19,870,28,8,0.0,233,21,10062,68,2281,0,18,50,7,28,7.0,5,1.0,2.0,900,28,12.0,1.0,3500,0.0,378,348,2723,0.0,23,13,409,194,8,1097,46,1645,4480,6725,66,8,854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,6.0,112,39,43,97,0.0,58,15,52,2972,0.0,199,19403,1510,71,41,64,162,2683,26,156,57,7,0.0,231,24,2127,63,348,28,20,29,39,26,0.0,4,1.0,2.0,270,36,0.0,1.0,199,0.0,259,75,1236,1.0,29,31,81,40,25,150,46,298,2695,4096,46,163,240,16991,40732,270,2022-09-03,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0,119,7,0,0,0,0,18,0,2,0,0,0.0,0,0,12,0,5,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,95,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,21.0,1354,50,166,361,17.0,395,59,352,25364,1.0,977,252027,9595,323,85,225,1001,25486,130,1634,169,58,2.0,931,28,19510,74,4866,59,90,166,78,211,31.0,145,6.0,24.0,1479,126,32.0,38.0,2496,23.0,1627,456,3264,24.0,90,33,491,389,82,1056,211,2244,3097,19175,507,175,1088,179364,384278,217792,2022-05-04,4.0,400,4,19,96,5.0,149,13,116,14841,0.0,512,151619,3690,48,11,78,485,18885,21,450,15,9,0.0,268,0,11559,11,1463,19,4,38,3,113,0.0,3,1.0,6.0,527,21,5.0,0.0,1450,3.0,276,192,1532,0.0,14,4,175,70,0,698,11,618,2113,4423,58,24,620,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,19.0,1413,38,85,285,10.0,669,84,376,15755,0.0,684,258060,11085,310,24,232,822,18620,70,1407,74,20,4.0,511,9,16604,86,3878,24,62,160,31,219,19.0,44,3.0,7.0,1146,130,16.0,15.0,3389,3.0,986,279,3303,1.0,174,123,445,260,35,861,167,5682,8382,19668,254,62,626,190708,377813,266219,2022-03-24,13.0,679,7,7,142,0.0,387,61,212,9351,0.0,327,192226,7189,164,1,133,418,13119,10,712,34,3,1.0,173,1,10703,28,2552,9,15,95,5,149,1.0,11,0.0,2.0,581,69,2.0,3.0,2189,0.0,317,120,2075,0.0,110,95,236,127,3,597,102,3749,7165,9235,149,12,343,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,4.0,235,49,24,96,3.0,115,11,98,4136,0.0,207,29417,2125,102,56,63,222,3457,26,155,84,15,0.0,210,30,2294,79,469,31,16,31,41,42,6.0,4,1.0,4.0,403,62,2.0,1.0,460,3.0,257,226,2352,0.0,39,34,129,38,39,202,59,513,4037,6575,48,136,467,25020,60040,787,2022-10-03,0.0,1,0,0,0,0.0,0,0,0,4,0.0,0,290,10,1,0,0,0,5,0,0,0,0,0.0,0,0,7,0,5,0,0,0,0,0,0.0,0,0.0,0.0,2,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,5,244,0,0,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,15.0,422,37,355,120,2.0,227,17,159,16211,0.0,832,139630,7627,210,69,81,475,9022,202,898,152,26,0.0,666,33,9013,75,2803,75,55,82,33,68,161.0,84,3.0,42.0,628,64,8.0,13.0,1086,15.0,597,282,6534,71.0,43,39,208,547,80,305,103,959,2466,9398,336,99,580,96780,214444,130214,2022-06-02,10.0,175,5,2,30,0.0,112,5,49,10183,0.0,341,87765,4086,87,7,19,262,6342,2,199,46,7,0.0,149,3,5823,8,1027,41,10,19,2,25,1.0,9,1.0,0.0,278,6,1.0,0.0,696,3.0,119,106,5590,0.0,13,0,64,363,3,181,16,453,1871,3134,82,10,373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,5.0,1185,42,95,207,1.0,112,23,128,2674,0.0,188,36361,5655,160,53,134,174,3292,55,483,120,23,1.0,1225,22,2032,61,3388,25,36,187,46,45,66.0,28,5.0,9.0,404,59,8.0,12.0,353,11.0,1155,149,1288,3.0,35,43,102,126,48,278,107,469,2946,7508,186,103,349,38935,74093,902,2022-11-24,0.0,0,0,0,1,0.0,1,0,3,5,0.0,0,432,15,0,0,0,0,1,0,4,0,0,0.0,2,0,1,0,11,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,1,1,362,0,0,60,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,20.0,235,31,52,61,4.0,146,14,96,9890,0.0,240,78678,3096,130,68,137,487,7461,29,317,59,7,0.0,312,25,2953,43,821,48,30,73,34,31,4.0,6,3.0,1.0,406,62,0.0,4.0,772,4.0,517,260,2551,5.0,49,30,260,46,19,778,48,931,1848,5794,445,69,259,60038,120799,82823,2022-07-25,14.0,79,11,5,19,1.0,85,8,29,6382,0.0,132,58661,1382,31,4,85,300,5746,0,172,9,0,0.0,68,0,1620,0,449,18,0,35,1,5,0.0,0,2.0,0.0,137,9,0.0,1.0,542,1.0,156,181,1744,2.0,17,0,172,14,1,691,5,358,1136,1880,323,4,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,138,58,36,67,0.0,93,23,79,2034,0.0,92,22452,1511,112,67,69,116,1661,31,211,68,21,0.0,233,30,1389,66,444,23,30,44,36,33,1.0,3,0.0,3.0,201,38,1.0,8.0,315,4.0,208,107,1494,0.0,39,27,75,38,27,155,44,187,3323,4713,35,120,247,17525,42680,318,2022-11-13,0.0,0,0,0,0,0.0,0,2,1,2,0.0,0,158,7,0,0,0,0,2,0,1,0,0,0.0,0,0,8,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,112,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,32.0,448,37,305,173,10.0,431,25,125,12928,0.0,596,114379,10797,138,53,223,470,15507,58,873,121,23,0.0,773,29,7008,86,2107,32,52,93,47,49,107.0,51,7.0,59.0,1931,129,4.0,25.0,581,18.0,797,635,1939,42.0,98,35,316,260,68,253,94,2500,1869,7421,278,73,560,93481,188178,118650,2022-07-12,20.0,166,6,7,81,1.0,83,9,37,8820,0.0,261,72877,7092,22,0,106,318,13423,3,234,19,11,0.0,66,1,4690,23,401,6,4,19,8,12,0.0,3,4.0,0.0,1470,10,0.0,3.0,279,8.0,300,447,1198,0.0,75,1,220,31,0,162,25,1735,1256,2258,138,4,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,21.0,233,25,38,102,1.0,142,88,129,9959,0.0,505,93172,3842,160,39,137,448,10339,24,244,53,27,0.0,324,21,11895,62,924,27,23,69,47,56,6.0,9,8.0,1.0,1417,129,2.0,1.0,658,5.0,403,141,2481,7.0,37,25,177,56,36,222,65,1105,2301,6078,208,50,397,74537,149202,103966,2022-07-21,11.0,87,0,1,35,0.0,73,25,40,6634,0.0,339,69229,1737,78,2,55,293,8479,0,126,2,12,0.0,54,1,8470,2,467,3,0,28,4,23,0.0,2,4.0,0.0,1003,16,0.0,1.0,404,0.0,93,44,1659,2.0,10,1,76,9,3,132,20,606,1562,1699,160,3,147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.0,354,48,51,79,0.0,51,10,96,1934,0.0,146,21773,1862,89,50,70,118,1626,34,258,74,19,0.0,507,26,1139,52,479,26,28,66,25,23,2.0,4,2.0,1.0,206,40,4.0,5.0,291,4.0,259,99,1199,1.0,30,33,92,43,30,231,63,200,3276,4924,88,95,175,19010,42512,593,2022-11-20,0.0,1,0,0,0,0.0,0,1,0,1,0.0,0,339,22,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,2,206,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,12.0,5047,52,293,143,7.0,334,13,223,7496,0.0,785,97873,4747,251,88,116,209,10928,133,692,84,16,0.0,704,25,4410,88,3769,24,45,83,33,93,116.0,29,19.0,31.0,924,75,9.0,5.0,513,10.0,651,438,2462,43.0,31,31,121,200,79,274,110,796,4355,10691,332,77,326,77495,161567,102363,2022-07-16,8.0,4167,28,0,77,0.0,192,3,137,4660,0.0,512,65976,2558,141,24,49,82,8929,3,134,9,3,0.0,50,0,2454,10,470,1,2,14,3,45,0.0,0,15.0,4.0,642,8,2.0,0.0,275,2.0,321,298,1765,0.0,4,2,49,37,0,180,11,401,3418,3892,171,2,122,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
98,5.0,151,33,35,75,0.0,96,7,98,2905,0.0,165,25738,2090,115,58,88,124,2883,38,187,49,15,4.0,308,36,2251,50,385,24,34,54,33,29,5.0,10,2.0,1.0,352,38,1.0,2.0,555,7.0,250,122,1431,0.0,26,38,68,48,27,155,68,362,3655,5358,46,104,235,21033,51129,346,2022-11-17,0.0,0,0,0,0,0.0,0,0,1,1,0.0,0,120,13,2,0,0,0,11,0,0,0,0,0.0,1,0,4,0,4,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,4,2,0.0,0,0,0,0,0,0,0,0,3,170,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2.0,399,43,442,112,5.0,342,27,168,9534,0.0,866,118227,4274,218,56,119,204,12420,43,549,121,20,0.0,657,32,10530,58,3068,26,50,72,20,49,98.0,30,0.0,32.0,746,176,7.0,9.0,928,5.0,550,227,1565,61.0,50,37,213,204,62,284,86,715,2180,6853,412,119,402,76849,178804,117765,2022-06-19,0.0,151,11,4,36,0.0,25,14,75,5951,0.0,462,82354,2245,122,3,60,82,10477,1,126,35,5,0.0,70,0,7628,12,534,0,4,36,1,15,1.0,0,0.0,0.0,373,99,0.0,1.0,634,1.0,208,74,911,0.0,13,5,107,55,0,202,23,281,1764,2010,214,20,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,5.0,1375,51,66,143,0.0,104,29,107,2821,0.0,328,32257,3866,119,56,143,158,4253,34,352,88,18,1.0,1381,32,3864,78,580,30,33,33,36,44,16.0,21,1.0,9.0,339,42,3.0,4.0,396,3.0,712,135,1782,1.0,49,34,108,63,30,169,102,1105,3839,7606,175,91,170,33734,69493,643,2022-10-18,0.0,7,0,0,0,0.0,0,0,0,0,0.0,0,322,12,0,0,0,0,9,0,0,0,0,0.0,11,0,4,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,2,264,0,0,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4.0,134,42,31,38,0.0,83,7,76,2387,0.0,128,17601,1363,87,63,53,126,1464,29,172,52,12,0.0,195,32,1310,57,373,23,30,31,33,32,6.0,6,2.0,1.0,256,41,1.0,1.0,208,0.0,185,73,1321,1.0,28,63,100,27,15,108,30,329,2893,4167,43,106,158,14383,36237,276,2022-10-30,0.0,0,0,0,1,0.0,0,0,0,2,0.0,0,157,10,0,0,0,0,2,0,1,0,0,0.0,5,0,0,0,9,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,72,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,35.0,482,202,334,171,2.0,149,30,128,11579,0.0,1032,151974,10419,209,63,294,295,8301,151,694,90,43,1.0,653,20,9239,65,2953,31,30,64,48,80,141.0,54,0.0,33.0,782,130,13.0,16.0,1040,17.0,748,368,2498,94.0,49,64,1431,193,73,1402,129,1026,1706,10115,209,60,614,91571,222868,139076,2022-06-06,24.0,211,162,2,44,0.0,39,9,47,7748,0.0,475,100096,6687,80,8,189,107,5533,5,132,14,12,0.0,57,0,5729,8,959,5,3,26,9,30,1.0,0,0.0,0.0,452,84,0.0,0.0,686,4.0,175,158,1459,3.0,17,10,1315,14,1,1236,35,492,1149,2972,13,2,348,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4.0,231,44,35,86,0.0,119,19,93,4757,0.0,236,29216,2673,92,66,58,276,3687,26,247,76,18,0.0,222,35,3640,55,413,32,29,36,31,40,8.0,23,1.0,2.0,622,70,1.0,2.0,343,5.0,302,122,1873,2.0,42,36,113,52,19,127,64,609,3030,5673,47,115,199,27044,60095,391,2022-10-07,0.0,0,0,0,0,0.0,0,0,0,18,0.0,0,255,3,1,0,0,0,4,0,0,0,0,0.0,2,0,12,0,5,0,0,0,0,0,0.0,0,0.0,0.0,2,0,0.0,0.0,1,0.0,1,0,2,0.0,0,0,0,0,0,0,0,11,0,65,0,0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,12.0,2035,36,335,127,3.0,529,25,149,9644,0.0,316,105698,4217,269,65,62,260,8218,123,957,248,25,1.0,726,37,5812,69,1540,27,35,81,44,73,103.0,39,5.0,37.0,643,97,7.0,9.0,972,2.0,403,240,2054,65.0,46,24,180,221,69,226,84,564,1521,7001,152,89,273,69504,156926,104223,2022-07-09,11.0,1369,4,1,55,2.0,129,6,39,6483,0.0,91,76479,2177,142,2,18,108,6368,9,292,142,6,0.0,50,1,3951,4,372,3,0,31,1,36,0.0,0,3.0,0.0,372,6,0.0,0.0,618,0.0,85,79,1390,1.0,10,1,85,18,2,155,8,244,977,1646,49,8,83,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
105,3.0,128,45,53,68,0.0,68,20,78,2129,0.0,147,23287,1947,103,50,54,156,1821,30,284,75,16,0.0,258,21,1459,56,359,21,32,42,28,31,4.0,4,2.0,1.0,243,46,3.0,3.0,279,2.0,215,86,1461,0.0,27,29,117,45,33,113,42,306,3071,4343,55,85,271,17776,43756,334,2022-11-08,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,203,3,0,0,0,0,2,0,1,0,0,0.0,1,0,3,0,5,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,4,0.0,0,0,2,0.0,0,0,0,0,0,1,0,0,3,86,0,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,5.0,158,36,29,78,0.0,100,19,113,2804,0.0,192,22288,2104,84,49,51,144,2668,25,156,52,6,0.0,261,28,2437,63,444,23,30,42,39,25,1.0,7,5.0,3.0,254,44,2.0,5.0,295,0.0,308,99,1585,1.0,34,37,84,39,29,126,61,646,2962,4715,55,196,349,18572,46496,540,2022-09-07,0.0,1,0,0,1,0.0,5,1,0,5,0.0,0,353,6,2,0,0,0,12,0,0,0,0,0.0,0,0,9,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3,0.0,0,0,0,0,0,0,0,29,0,101,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,47.0,1399,11,111,243,3.0,651,138,550,21817,0.0,536,313264,15809,677,69,215,1044,17175,77,1810,241,46,3.0,1432,16,14506,80,3798,30,35,497,57,151,30.0,62,17.0,41.0,1536,116,42.0,23.0,5270,5.0,1363,277,3178,8.0,182,17,364,379,105,2264,19835,2762,10668,22619,168,63,699,235245,468632,295047,2022-03-17,34.0,552,0,15,76,0.0,326,26,306,13090,0.0,243,217579,10464,244,8,103,517,11344,17,926,30,3,0.0,201,1,8968,27,2130,11,9,395,10,81,0.0,9,7.0,3.0,708,27,10.0,4.0,3624,0.0,340,100,1773,2.0,120,5,145,141,38,1929,74,1525,9389,6864,50,10,414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,8.0,442,40,45,76,1.0,103,8,73,2513,2.0,217,38685,3416,82,53,260,167,3516,21,934,79,3,1.0,433,27,1576,51,538,27,27,56,24,44,10.0,13,7.0,1.0,328,100,3.0,3.0,306,2.0,344,184,1521,4.0,46,29,133,64,19,111,41,1042,3327,6290,418,114,377,33510,68386,22034,2022-08-08,0.0,259,0,0,10,0.0,8,1,3,103,2.0,16,14815,1562,9,1,169,5,1600,0,789,10,0,0.0,166,1,161,0,70,0,0,16,1,0,0.0,3,2.0,0.0,18,0,1.0,2.0,24,0.0,69,69,79,0.0,0,0,34,6,0,47,2,670,61,796,348,3,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,4.0,440,52,53,88,0.0,164,9,81,5180,0.0,293,29764,3469,98,40,107,287,4915,27,197,68,6,1.0,225,21,3372,51,599,29,25,28,53,37,7.0,13,2.0,5.0,569,64,1.0,3.0,502,2.0,401,125,2243,1.0,25,44,152,51,29,214,79,1051,4100,9734,59,145,525,31809,69930,1503,2022-09-30,0.0,5,0,0,1,0.0,0,0,0,14,0.0,0,194,23,1,0,1,0,15,0,0,0,0,0.0,0,0,3,0,5,0,0,0,0,0,0.0,0,0.0,0.0,1,0,0.0,0.0,3,0.0,1,0,2,0.0,0,0,0,0,0,0,0,8,6,1063,0,0,157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,25.0,1950,24,62,224,1.0,792,30,451,16220,0.0,654,307796,11663,535,24,90,977,16108,48,1951,63,36,0.0,567,8,17578,100,3149,11,29,81,67,131,19.0,43,9.0,8.0,1534,86,28.0,10.0,4093,2.0,1011,394,3607,3.0,177,21,290,235,43,1264,97,2210,8624,17452,86,58,495,194389,423345,306256,2022-03-20,11.0,1150,5,5,76,0.0,494,14,298,9336,0.0,385,236462,8239,357,0,33,544,11562,5,1077,10,20,0.0,235,1,11934,33,1606,2,3,25,17,84,1.0,8,2.0,1.0,915,29,10.0,1.0,2744,0.0,342,229,2197,0.0,126,10,115,102,13,970,24,1135,7376,5603,32,12,236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,6.0,223,37,41,61,2.0,87,46,108,2309,0.0,165,27768,2691,96,53,75,123,1761,35,252,64,8,0.0,349,27,1439,62,506,26,38,151,32,42,5.0,7,1.0,4.0,233,75,5.0,3.0,219,3.0,481,123,1870,2.0,26,26,109,49,21,325,150,527,3775,8341,116,201,252,24425,55634,1597,2022-08-17,0.0,5,0,0,0,0.0,0,0,0,14,0.0,0,705,6,2,0,0,0,3,0,0,0,0,0.0,6,0,6,0,8,0,0,3,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,10,0.0,0,0,0,0,0,0,0,2,0,819,0,0,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1.0,182,39,59,82,3.0,93,18,66,1799,0.0,107,23153,1572,150,50,61,110,1801,52,427,56,6,1.0,475,25,1134,53,325,31,31,39,29,25,15.0,20,3.0,3.0,247,32,11.0,14.0,160,2.0,288,127,1177,1.0,37,33,53,103,43,128,105,357,2442,4927,104,104,102,16474,42697,388,2022-12-26,0.0,5,0,0,0,0.0,0,0,0,3,0.0,0,167,11,0,0,0,0,1,0,0,0,0,0.0,0,0,3,0,12,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,2,1,0,0.0,0,0,0,0,0,0,0,0,2,174,1,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,49.0,872,61,94,227,3.0,384,20,234,18469,0.0,767,234348,7966,137,56,497,474,9603,47,722,107,20,0.0,588,24,15212,71,1954,46,39,53,49,158,8.0,25,10.0,3.0,1524,90,10.0,3.0,1811,8.0,816,322,3990,2.0,53,29,439,103,42,715,116,974,3177,10422,123,87,555,124808,318809,238354,2022-04-27,37.0,544,14,17,104,2.0,222,4,78,12270,0.0,559,188150,4559,34,0,373,134,6682,7,313,16,5,0.0,272,1,10230,6,1084,20,2,16,5,96,1.0,7,9.0,1.0,1052,20,1.0,0.0,1019,3.0,210,155,2869,0.0,14,8,252,39,2,559,45,484,2500,3020,15,6,207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,4.0,131,34,48,61,2.0,70,8,75,3348,0.0,229,19721,1914,84,55,72,192,2051,23,135,62,19,3.0,234,27,1538,61,396,26,22,24,26,33,1.0,8,2.0,1.0,273,46,2.0,2.0,249,0.0,198,79,1368,0.0,22,24,97,52,16,90,45,416,2831,5340,38,193,304,17518,42426,415,2022-09-18,0.0,2,0,0,0,0.0,0,0,0,5,0.0,0,227,2,2,0,0,0,2,0,0,0,0,0.0,1,0,0,0,9,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,0.0,0,0,0,0,0,0,0,2,1,155,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,65.0,2382,22,222,482,19.0,654,48,560,21023,20.0,738,353643,14830,313,63,610,978,21242,174,6021,51,22,5.0,791,15,27749,126,6114,7,234,328,26,255,93.0,196,10.0,17.0,1706,280,105.0,48.0,4136,19.0,2035,501,3290,4.0,67,27,356,1609,333,11741,398,4025,3766,23315,387,48,1032,290789,519385,331782,2022-03-08,46.0,838,3,21,223,3.0,316,10,348,12468,5.0,331,233470,9327,114,30,254,435,14035,26,3094,3,2,1.0,260,0,18715,22,3848,0,53,233,2,190,22.0,40,7.0,2.0,741,190,26.0,12.0,2584,4.0,702,272,1857,0.0,25,7,127,1091,164,10545,242,1874,2867,8839,163,6,646,4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
116,43.0,668,30,337,129,0.0,159,18,145,15457,0.0,730,157949,5227,230,54,69,435,9062,148,962,107,13,0.0,613,24,8569,54,2436,24,70,63,42,161,143.0,71,2.0,35.0,1479,66,13.0,11.0,895,8.0,524,229,2607,42.0,40,37,406,258,86,4363,89,727,2561,9787,304,71,750,97149,229633,155801,2022-05-28,23.0,353,3,4,38,0.0,59,4,38,10506,0.0,266,114181,2760,129,4,3,170,6236,2,171,22,4,0.0,76,1,5201,0,700,3,1,13,4,121,2.0,0,0.0,0.0,1074,12,0.0,0.0,490,1.0,111,61,1806,0.0,10,5,285,65,3,4242,19,284,1988,3657,118,5,467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,4.0,282,42,49,91,0.0,78,21,72,1853,0.0,66,23202,1726,111,41,74,106,1562,30,233,70,12,0.0,513,30,984,46,599,20,27,43,28,26,7.0,14,2.0,4.0,225,30,2.0,18.0,260,0.0,279,98,1215,3.0,32,37,83,52,47,100,78,294,3249,4639,63,80,96,16580,43048,434,2022-12-11,0.0,15,0,0,3,0.0,0,1,0,4,0.0,0,258,3,0,0,0,1,1,0,2,0,0,0.0,4,0,1,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,118,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,6.0,128,50,30,64,7.0,81,13,71,2772,0.0,180,20103,1290,84,53,68,128,3371,27,96,77,5,1.0,210,23,1821,81,513,24,32,54,29,62,7.0,2,1.0,0.0,233,74,1.0,1.0,302,1.0,288,81,1519,0.0,33,26,132,35,22,85,44,327,3347,5965,46,130,108,17975,44364,466,2022-08-20,0.0,0,0,0,0,0.0,0,1,1,3,0.0,0,173,3,2,0,0,0,33,0,1,0,0,0.0,0,0,4,0,10,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,2,0,0,0.0,0,0,0,0,0,0,0,5,0,226,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,37.0,1710,47,47,211,6.0,654,33,371,22775,0.0,709,268419,9291,209,74,502,1395,12970,50,872,99,11,1.0,808,23,14789,43,2758,11,39,110,119,180,23.0,17,4.0,8.0,1195,143,26.0,6.0,2756,11.0,772,308,3306,4.0,173,45,417,146,42,785,107,1354,6887,13982,347,50,842,158622,373130,283136,2022-04-10,19.0,1003,15,4,96,1.0,476,11,201,15783,0.0,416,215074,6632,73,30,337,823,9667,4,498,31,2,0.0,468,1,10553,1,1531,0,2,34,64,128,3.0,4,0.0,2.0,664,71,14.0,0.0,1888,5.0,259,153,2172,0.0,106,7,184,43,1,549,47,606,5752,5819,257,11,541,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,22.0,1359,73,74,570,16.0,434,68,424,15668,0.0,1036,265634,23375,495,61,341,554,15089,59,1046,277,83,4.0,619,19,16958,71,3988,50,27,206,32,125,20.0,30,9.0,7.0,1556,132,17.0,9.0,3318,7.0,5062,438,3561,8.0,153,28,463,164,39,3558,199,1904,4851,15948,134,53,907,203093,391433,267716,2022-03-28,12.0,641,51,6,403,2.0,193,33,241,9789,0.0,623,190662,16383,332,28,184,215,10148,10,503,170,55,0.0,244,2,11730,12,2345,27,2,122,3,76,2.0,4,4.0,1.0,921,49,5.0,0.0,2218,2.0,2479,254,2139,2.0,102,5,280,50,3,2936,102,911,3628,5785,84,12,491,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
