,am,ar,bg,bn,ca,ckb,cs,cy,da,de,dv,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,hy,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,am_dupl,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,dv_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,hy_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,sd,sd_dupl,km,km_dupl,lo,ug,lo_dupl,ug_dupl,bo,bo_dupl
65,5.0,1774,41,65,179,0.0,152,36,126,2945,1.0,232,41345,6502,157,106,100,206,4173,51,365,131,26,1.0,1068,32,2277,59,10716,25,23,87,59,55,31.0,12,1.0,10.0,434,49,4.0,12.0,461,1.0,1689,170,1396,3.0,73,41,144,74,26,256,135,753,3280,9428,93,103,218,47943,92020,1069,2022-11-23,0.0,0,0,0,0,0.0,0,0,0,6,0.0,0,259,12,0,0,0,1,14,0,6,1,0,0.0,2,0,4,0,51,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0,0,11,0.0,1,0,0,0,0,0,0,5,3,678,0,0,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,39.0,448,43,49,78,1.0,354,27,385,8682,0.0,601,88933,3301,164,68,138,382,8171,36,253,62,16,1.0,264,22,4849,63,820,29,29,46,25,67,2.0,4,19.0,2.0,838,143,0.0,0.0,684,2.0,364,186,2405,0.0,86,27,509,68,30,162,73,2818,2146,5468,116,72,470,65656,135141,95261,2022-07-22,30.0,261,9,3,34,0.0,284,9,307,5963,0.0,425,67462,1434,92,18,92,229,6480,7,106,11,7,0.0,45,0,3028,4,388,4,0,19,2,35,0.0,0,12.0,0.0,472,14,0.0,0.0,414,0.0,80,89,1698,0.0,56,0,416,18,2,97,11,1641,1418,1728,61,8,238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,6.0,295,51,61,74,4.0,114,13,95,1990,0.0,129,23955,1731,93,52,2245,158,2322,32,171,68,17,1.0,238,32,1824,52,405,28,37,44,30,30,3.0,6,3.0,1.0,297,63,2.0,10.0,295,1.0,228,114,1536,0.0,25,39,81,39,23,146,62,1157,3352,4705,68,91,211,20783,48955,307,2022-11-14,0.0,0,0,0,0,0.0,0,0,0,5,0.0,0,105,12,0,0,45,0,8,0,0,0,0,0.0,0,0,13,0,9,0,0,0,0,0,0.0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,3,1,95,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,11.0,6893,82,306,130,3.0,669,22,110,9049,0.0,998,137401,6588,260,97,99,399,9898,72,857,124,7,1.0,778,19,6318,116,2713,31,33,68,45,117,115.0,54,15.0,45.0,679,135,11.0,24.0,776,5.0,623,309,3765,68.0,40,35,194,230,82,417,87,959,9389,15553,222,72,285,105652,218505,141136,2022-07-15,6.0,5238,49,3,32,0.0,432,8,19,5195,0.0,616,95111,3523,128,13,39,227,7487,6,207,24,1,0.0,62,0,3860,46,612,6,1,12,3,67,0.0,4,10.0,1.0,384,20,4.0,7.0,438,0.0,127,83,2778,1.0,9,0,102,9,1,329,13,411,7521,5646,78,4,122,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
69,34.0,843,35,49,246,4.0,423,47,214,23060,4.0,691,222391,9443,382,61,353,1123,36302,31,650,99,9,0.0,305,30,18707,89,2356,20,35,93,82,78,8.0,14,3.0,1.0,1681,65,10.0,4.0,2548,9.0,749,255,3185,0.0,62,33,453,114,36,763,161,1762,4343,13544,165,88,670,152773,349015,277245,2022-04-24,22.0,591,4,4,124,1.0,290,23,130,16658,4.0,460,185332,7750,269,0,271,601,30929,4,343,21,1,0.0,93,1,14040,27,1384,5,2,49,24,34,0.0,2,1.0,0.0,1179,12,4.0,0.0,1896,4.0,338,148,2337,0.0,25,2,323,42,0,633,92,1121,3602,5409,88,12,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,8.0,101,38,34,61,5.0,80,16,60,1722,0.0,116,16166,1036,95,43,39,111,1227,27,63,63,5,0.0,212,23,983,60,454,17,22,51,41,23,1.0,2,3.0,3.0,169,59,1.0,2.0,193,0.0,284,92,1341,0.0,27,30,87,37,22,57,44,271,2877,4245,48,94,160,12566,33151,323,2022-08-14,0.0,4,0,0,0,0.0,0,0,0,0,0.0,0,169,3,2,0,0,0,1,0,0,0,0,0.0,0,0,3,0,10,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,1,2,0.0,0,7,0,0,0,0,0,1,8,107,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,5.0,243,44,63,101,2.0,100,42,84,1840,0.0,89,44660,1702,1334,47,114,124,1575,41,760,119,28,1.0,423,22,1013,41,511,31,24,82,43,26,10.0,30,2.0,5.0,239,64,4.0,13.0,197,1.0,375,107,1089,1.0,38,31,75,64,43,128,113,391,2684,7777,86,69,183,41270,69159,560,2022-12-25,0.0,0,0,0,2,0.0,0,0,1,16,0.0,0,175,14,5,0,0,1,7,0,0,0,0,0.0,4,0,1,0,6,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,302,0,0,25,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,68.0,1220,36,77,226,15.0,436,54,207,24580,0.0,474,278091,11121,920,44,358,1615,13463,66,1214,74,11,5.0,654,12,15094,62,2796,30,21,111,58,214,17.0,21,5.0,3.0,1287,113,14.0,10.0,2392,6.0,767,357,3199,1.0,64,51,929,213,44,764,61,1568,5640,16507,112,110,598,165601,388280,289687,2022-04-13,28.0,782,2,6,85,2.0,260,40,57,15859,0.0,232,219940,8137,786,2,223,777,9869,14,631,9,1,3.0,313,2,9968,20,1616,11,0,56,15,159,1.0,4,1.0,0.0,755,21,1.0,4.0,1512,2.0,246,227,2100,0.0,16,5,579,115,4,542,8,748,4694,7777,54,17,349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,97,27,53,108,1.0,102,19,67,1824,0.0,121,24236,1595,123,62,614,120,1943,32,189,68,15,0.0,278,19,1102,49,331,20,31,34,27,27,3.0,10,1.0,7.0,190,31,1.0,8.0,201,0.0,196,125,1293,3.0,37,42,81,38,20,98,40,336,3149,4101,41,108,356,16570,43852,715,2022-12-12,0.0,0,0,0,2,0.0,0,0,0,3,0.0,0,364,5,0,0,1,1,2,0,0,0,0,0.0,0,0,3,0,10,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,0,3,0.0,0,0,0,0,0,0,1,1,1,96,0,0,220,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4.0,179,52,54,65,1.0,94,17,91,2921,0.0,197,23760,1804,92,45,65,170,2903,35,150,60,11,0.0,223,20,2173,72,577,21,25,47,41,72,5.0,6,3.0,5.0,307,120,2.0,7.0,382,2.0,328,111,1561,1.0,37,34,94,43,26,91,65,471,4060,6017,83,98,251,20717,50253,375,2022-08-23,0.0,3,0,0,1,0.0,0,0,0,2,0.0,0,107,6,1,0,0,0,6,0,2,0,1,0.0,0,0,4,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,4,0.0,2,0,1,0.0,0,0,0,0,0,0,0,3,0,223,0,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
