,am,ar,bg,bn,ca,ckb,cs,cy,da,de,dv,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,sd,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,am_dupl,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,dv_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,sd_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,hy,hy_dupl,km,km_dupl,ug,ug_dupl,lo,lo_dupl,bo,bo_dupl
294,3.0,1107,35,45,91,16.0,128,14.0,86,2189,0.0,140,25016,1741,91,55,13127,135,1660,29,251,66,7.0,269,26.0,1300,51,340,22.0,33,34,33,37,5.0,6.0,0.0,1.0,206,43,0.0,6.0,252,3.0,211,101,1359,1.0,1.0,43,32.0,98,51,35.0,126,46,1617,3073,5521,43,115,180,27502,61353,636,2022-11-07,0.0,49,0,0,0,0.0,0,0.0,0,2,0.0,0,267,16,0,0,100,0,1,0,0,0,0.0,0,0.0,4,0,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,3,0,2,0.0,0.0,0,0.0,0,0,0.0,0,0,4,4,170,0,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,5.0,119,36,35,116,0.0,105,20.0,90,2709,0.0,125,24627,1812,86,52,56,182,1844,35,156,81,6.0,219,31.0,1219,51,357,24.0,27,37,33,26,7.0,5.0,2.0,0.0,204,53,0.0,11.0,279,2.0,231,127,1456,2.0,0.0,31,54.0,106,35,33.0,101,53,792,3130,4498,40,127,185,18050,45887,300,2022-11-03,0.0,0,0,0,1,0.0,0,0.0,2,4,0.0,0,160,22,0,0,0,0,4,0,1,0,0.0,0,0.0,9,0,11,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,0.0,0.0,0,0.0,0,0,0.0,0,0,2,0,75,0,0,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,5.0,151,33,35,75,0.0,96,7.0,98,2905,0.0,165,25738,2090,115,58,88,124,2883,38,187,49,15.0,308,36.0,2251,50,385,24.0,34,54,33,29,5.0,10.0,2.0,1.0,352,38,1.0,2.0,555,7.0,250,122,1431,0.0,0.0,26,38.0,68,48,27.0,155,68,362,3655,5358,46,104,235,21033,51129,346,2022-11-17,0.0,0,0,0,0,0.0,0,0.0,1,1,0.0,0,120,13,2,0,0,0,11,0,0,0,0.0,1,0.0,4,0,4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,4,2,0.0,0.0,0,0.0,0,0,0.0,0,0,0,3,170,0,0,9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,14.0,358,89,106,412,5.0,407,32.0,249,10212,0.0,267,59612,6795,204,83,164,691,7520,88,858,106,49.0,760,32.0,4982,74,1131,34.0,51,62,56,207,44.0,23.0,9.0,17.0,646,132,23.0,9.0,960,8.0,1277,256,1527,0.0,5.0,62,42.0,276,143,69.0,255,191,800,3582,18550,508,94,335,60366,125563,1300,2023-02-24,0.0,0,0,0,1,0.0,8,0.0,0,17,0.0,0,240,21,0,0,7,0,8,0,1,0,0.0,2,0.0,13,6,5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,4,1,2,0.0,0.0,0,0.0,0,0,0.0,0,0,9,3,948,0,0,2,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,296,34,42,90,0.0,84,14.0,86,3833,0.0,86,24839,1600,108,41,195,184,2492,40,283,80,11.0,300,24.0,1661,49,357,18.0,22,42,27,36,8.0,10.0,1.0,0.0,280,43,4.0,11.0,235,3.0,359,101,857,0.0,1.0,30,30.0,107,65,29.0,75,56,356,2224,5530,167,71,128,19821,47758,300,2023-02-18,0.0,18,0,0,0,0.0,9,0.0,0,2,0.0,0,129,2,1,0,0,0,3,0,2,0,0.0,0,0.0,10,0,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,1,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2,2,111,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,0.0,242,34,81,110,1.0,65,8.0,35,1124,0.0,172,25194,5515,496,46,87,42,1350,31,687,73,3.0,572,17.0,1851,37,134,13.0,18,27,25,18,6.0,13.0,0.0,0.0,204,57,4.0,10.0,112,9.0,347,126,758,1.0,0.0,21,20.0,38,57,51.0,179,179,330,1681,4916,348,150,71,26113,47798,12105,2023-04-22,0.0,36,6,3,26,0.0,12,0.0,0,142,0.0,69,4297,4435,3,4,2,1,382,0,5,0,0.0,9,0.0,1236,0,3,0.0,0,0,0,0,0.0,0.0,0.0,0.0,77,0,0.0,0.0,48,0.0,68,51,138,0.0,0.0,0,0.0,0,0,0.0,6,14,67,126,804,7,28,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,21.0,468,51,413,119,6.0,324,15.0,132,10797,0.0,778,117331,4957,221,62,170,320,9671,43,977,81,17.0,589,20.0,6860,80,2309,26.0,39,65,38,33,124.0,43.0,0.0,32.0,734,115,10.0,17.0,1116,101.0,621,272,2238,0.0,53.0,44,39.0,198,192,77.0,274,108,783,1769,6730,487,69,410,77949,173689,112167,2022-06-25,8.0,230,20,5,44,3.0,129,0.0,36,6997,0.0,422,81893,2548,109,2,86,152,6917,1,436,10,9.0,71,3.0,3819,5,812,1.0,2,17,9,13,0.0,1.0,0.0,0.0,425,18,1.0,6.0,809,57.0,194,140,1535,0.0,1.0,20,1.0,92,48,4.0,189,28,353,1314,1670,226,5,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,2.0,399,43,442,112,5.0,342,27.0,168,9534,0.0,866,118227,4274,218,56,119,204,12420,43,549,121,20.0,657,32.0,10530,58,3068,26.0,50,72,20,49,98.0,30.0,0.0,32.0,746,176,7.0,9.0,928,5.0,550,227,1565,0.0,61.0,50,37.0,213,204,62.0,284,86,715,2180,6853,412,119,402,76849,178804,117765,2022-06-19,0.0,151,11,4,36,0.0,25,14.0,75,5951,0.0,462,82354,2245,122,3,60,82,10477,1,126,35,5.0,70,0.0,7628,12,534,0.0,4,36,1,15,1.0,0.0,0.0,0.0,373,99,0.0,1.0,634,1.0,208,74,911,0.0,0.0,13,5.0,107,55,0.0,202,23,281,1764,2010,214,20,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,7.0,155,37,58,44,3.0,64,9.0,74,2771,0.0,155,22004,2042,109,50,62,143,1996,30,127,71,9.0,224,30.0,1321,64,474,36.0,19,33,33,44,3.0,3.0,8.0,3.0,244,84,1.0,1.0,264,4.0,250,150,1704,2.0,1.0,31,31.0,82,62,30.0,107,49,439,3405,5135,47,138,189,18239,44767,393,2022-08-16,0.0,0,0,0,0,0.0,0,0.0,0,12,0.0,0,214,4,3,0,0,0,3,0,1,0,0.0,0,0.0,6,0,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,6,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,129,0,0,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,30.0,2850,56,71,175,1.0,220,37.0,176,12633,0.0,881,157905,18663,228,71,249,408,17327,55,1364,124,24.0,990,31.0,8536,88,2047,41.0,92,65,65,70,16.0,56.0,20.0,7.0,1163,96,2.0,13.0,645,4.0,1346,188,3044,3.0,11.0,50,33.0,262,237,31.0,24168,224,6879,5700,10332,487,91,5224,148928,285907,201048,2022-08-02,17.0,1585,10,5,82,0.0,119,8.0,58,8570,0.0,563,114820,13977,104,12,65,198,14123,16,850,39,11.0,329,0.0,5644,28,1136,5.0,58,13,18,30,0.0,27.0,16.0,1.0,595,5,0.0,3.0,339,0.0,595,70,1403,0.0,8.0,8,0.0,159,142,1.0,23667,81,4480,1931,2782,256,22,1964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
304,49.0,872,61,94,227,3.0,384,20.0,234,18469,0.0,767,234348,7966,137,56,497,474,9603,47,722,107,20.0,588,24.0,15212,71,1954,46.0,39,53,49,158,8.0,25.0,10.0,3.0,1524,90,10.0,3.0,1811,8.0,816,322,3990,1.0,2.0,53,29.0,439,103,42.0,715,116,974,3177,10422,123,87,555,124808,318809,238354,2022-04-27,37.0,544,14,17,104,2.0,222,4.0,78,12270,0.0,559,188150,4559,34,0,373,134,6682,7,313,16,5.0,272,1.0,10230,6,1084,20.0,2,16,5,96,1.0,7.0,9.0,1.0,1052,20,1.0,0.0,1019,3.0,210,155,2869,0.0,0.0,14,8.0,252,39,2.0,559,45,484,2500,3020,15,6,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1.0,129,36,47,139,0.0,113,3.0,50,7081,0.0,103,64050,26215,296,49,42,102,6951,35,290,83,17.0,396,24.0,6191,54,418,21.0,31,33,30,31,2.0,9.0,8.0,0.0,374,41,0.0,2.0,218,8.0,386,161,824,1.0,1.0,26,29.0,127,45,25.0,134,34,408,1413,6906,165,155,57,56652,124624,91843,2023-06-08,1.0,33,8,4,70,0.0,72,0.0,7,5040,0.0,32,47194,24229,208,5,10,25,5604,4,188,39,8.0,116,0.0,4882,6,234,0.0,0,1,5,3,0.0,0.0,3.0,0.0,129,9,0.0,0.0,54,6.0,170,62,149,0.0,0.0,0,0.0,48,4,1.0,89,1,214,839,1907,103,24,2,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
