,ar,bg,bn,ca,ckb,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,am,am_dupl,hy,sd,hy_dupl,sd_dupl,km,km_dupl,dv,dv_dupl,lo,lo_dupl,ug,ug_dupl
69,310,51,47,264,0.0,161,38.0,125,7220,349,94492,6651,158,60,113,213,19945,56,299,80,11.0,464,26.0,7152,77,733,23.0,29,70,42,73,8.0,8.0,33.0,10.0,422,70,1.0,9.0,595,17.0,587,298,1988,7.0,46,45.0,153,61,37.0,328,76,738,2857,6543,910,170,290,80346,155649,107559,2023-03-24,155,11,1,160,0.0,56,18.0,41,5075,205,67025,4857,34,12,66,43,17634,4,70,8,3.0,100,0.0,5651,12,358,0.0,0,5,13,50,1.0,1.0,23.0,6.0,232,19,0.0,0.0,417,9.0,265,176,974,2.0,13,0.0,37,4,0.0,202,12,433,755,1635,598,49,26,4.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,171,54,54,200,0.0,141,22.0,89,8065,430,79281,6769,435,49,62,206,10437,59,470,80,25.0,389,38.0,5128,61,674,23.0,34,56,40,65,14.0,4.0,4.0,4.0,278,78,5.0,12.0,493,7.0,451,395,2222,0.0,45,39.0,105,60,28.0,100,109,433,4212,7756,67,250,121,60220,130908,83589,2023-03-13,54,10,1,62,0.0,61,11.0,21,5779,224,52284,5135,277,2,25,70,8361,3,236,10,6.0,89,0.0,3815,3,369,4.0,1,20,1,34,0.0,0.0,2.0,0.0,108,39,0.0,3.0,281,5.0,206,279,1122,0.0,14,1.0,27,1,1.0,44,9,197,1284,2871,23,84,17,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,317,41,65,307,1.0,293,17.0,171,9640,415,134909,11801,130,48,84,282,11454,52,568,127,20.0,394,21.0,10978,80,636,18.0,40,83,62,65,18.0,61.0,34.0,6.0,729,131,5.0,8.0,698,2.0,814,396,2340,3.0,58,26.0,172,93,48.0,138,130,1216,2833,7993,196,223,661,81617,202188,144055,2023-03-20,100,7,7,155,0.0,199,2.0,81,6658,195,100708,9161,20,0,24,105,9168,4,191,30,9.0,54,0.0,8758,11,313,0.0,1,7,16,28,0.0,24.0,20.0,0.0,365,77,0.0,1.0,388,0.0,338,250,1341,0.0,14,0.0,61,11,7.0,40,44,685,819,3245,62,57,166,34.0,28.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,399,72,81,287,5.0,278,34.0,134,11152,446,119730,15203,257,57,1700,591,19309,54,550,73,19.0,470,21.0,10376,65,861,43.0,33,148,47,76,22.0,39.0,18.0,4.0,696,94,4.0,17.0,824,3.0,747,4014,2815,9.0,100,33.0,280,122,30.0,175,82,2129,3103,9486,322,184,319,105368,208257,137740,2023-03-17,162,33,5,137,0.0,159,13.0,29,7586,231,79984,11438,96,6,1599,22,15679,5,226,6,1.0,101,1.0,8093,14,279,5.0,1,13,1,35,0.0,9.0,5.0,0.0,399,16,0.0,2.0,498,1.0,245,3872,1712,2.0,69,2.0,87,45,1.0,78,6,1152,710,2621,132,32,77,9.0,5.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,296,34,42,90,0.0,84,14.0,86,3833,86,24839,1600,108,41,195,184,2492,40,283,80,11.0,300,24.0,1661,49,357,18.0,22,42,27,36,8.0,10.0,1.0,0.0,280,43,4.0,11.0,235,3.0,359,101,857,1.0,30,30.0,107,65,29.0,75,56,356,2224,5530,167,71,128,19821,47758,300,2023-02-18,18,0,0,0,0.0,9,0.0,0,2,0,129,2,1,0,0,0,3,0,2,0,0.0,0,0.0,10,0,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,1,0,0.0,0,0.0,0,0,0.0,0,0,2,2,111,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,224,41,36,252,0.0,157,14.0,69,6024,247,77940,6201,126,52,58,273,8251,70,376,73,19.0,348,33.0,4611,49,861,22.0,35,155,34,51,8.0,8.0,2.0,4.0,350,43,8.0,8.0,869,1.0,547,222,1764,1.0,27,21.0,120,65,29.0,100,60,383,2381,6066,97,216,139,55547,120251,82045,2023-04-10,105,4,3,174,0.0,90,3.0,13,4222,107,55870,4851,22,1,15,134,6734,6,116,7,12.0,94,1.0,3603,1,628,1.0,6,23,3,26,0.0,0.0,0.0,0.0,142,9,1.0,0.0,721,0.0,272,92,793,0.0,1,0.0,44,1,1.0,37,6,180,600,2137,26,93,10,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,110,92,31,196,0.0,101,23.0,83,2695,129,25275,2670,126,63,45,186,2041,48,208,120,21.0,364,18.0,34964,54,328,23.0,32,60,46,68,7.0,10.0,0.0,0.0,302,55,1.0,10.0,289,1.0,654,129,1231,0.0,39,30.0,140,53,38.0,67,115,240,2538,5105,51,83,162,37667,81571,472,2023-02-07,2,0,0,0,0.0,7,1.0,0,24,0,165,17,1,0,0,1,3,0,1,1,0.0,0,0.0,85,0,11,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,5,3,0,0.0,0,0.0,0,0,0.0,0,0,8,1,134,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,115,14,18,73,0.0,27,3.0,12,653,133,10363,3160,41,13,6,12,2021,10,21,21,1.0,126,11.0,3146,23,33,3.0,7,10,3,7,0.0,0.0,0.0,0.0,35,7,0.0,0.0,119,0.0,129,80,549,1.0,17,8.0,12,8,11.0,31,9,89,1482,1072,13,83,37,10513,23878,12549,2023-04-27,83,0,0,38,0.0,10,0.0,0,480,67,4413,2549,3,0,0,0,1806,0,5,0,1.0,34,0.0,2394,1,9,0.0,0,0,0,0,0.0,0.0,0.0,0.0,12,0,0.0,0.0,66,0.0,70,44,124,0.0,0,0.0,3,1,0.0,7,2,52,6,238,0,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,311,577,50,373,0.0,164,21.0,108,10454,219,110065,8069,131,58,320,200,8782,19,222,196,8.0,382,29.0,9173,59,1023,76.0,21,92,55,96,6.0,20.0,10.0,8.0,564,76,2.0,5.0,685,4.0,580,330,2356,3.0,38,26.0,152,62,43.0,212,176,646,3233,9214,168,167,198,78880,170358,118236,2023-03-08,99,533,0,239,0.0,76,2.0,20,7020,104,81130,6185,28,9,248,35,6630,0,32,123,0.0,70,0.0,7213,8,651,16.0,0,11,7,60,0.0,1.0,8.0,0.0,275,34,0.0,0.0,410,2.0,235,204,1262,0.0,8,1.0,33,5,0.0,114,56,343,771,3729,76,75,37,10.0,7.0,1.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,15,13,4,18,0.0,32,1.0,8,112,62,3327,3095,18,14,3,6,3230,8,18,15,0.0,51,5.0,2134,12,39,3.0,3,5,4,3,0.0,0.0,0.0,0.0,34,11,0.0,0.0,146,0.0,169,70,354,0.0,10,7.0,13,5,4.0,10,8,50,1631,487,5,56,20,9184,15348,10322,2023-05-28,1,0,0,1,0.0,15,0.0,2,29,19,2180,2770,2,6,0,0,3105,0,9,6,0.0,10,0.0,1797,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6,0,0.0,0.0,123,0.0,16,46,12,0.0,3,0.0,4,0,0.0,0,1,20,12,99,0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
